frame,x,y,velocity,snr
1,-0.079,0.037,0.000,30.000
1,0.065,0.058,0.000,30.000
1,0.486,0.559,0.000,30.000
1,0.208,0.711,0.000,30.000
1,0.046,1.482,0.000,30.000
1,-0.510,1.392,0.000,30.000
1,-0.518,1.574,0.000,30.000
1,-1.191,1.152,0.000,30.000
1,-1.402,1.612,0.000,30.000
1,0.000,4.143,0.000,30.000
1,-1.424,3.890,0.000,30.000
2,-0.079,0.037,0.000,30.000
2,0.065,0.058,0.000,30.000
2,0.486,0.559,0.000,30.000
2,0.208,0.711,0.000,30.000
2,0.046,1.482,0.000,30.000
2,-0.510,1.392,0.000,30.000
2,-0.518,1.574,0.000,30.000
2,-1.191,1.152,0.000,30.000
2,0.000,4.143,0.000,30.000
2,-1.424,3.890,0.000,30.000
3,-0.079,0.037,0.000,30.000
3,0.065,0.058,0.000,30.000
3,0.486,0.559,0.000,30.000
3,0.208,0.711,0.000,30.000
3,0.046,1.482,0.000,30.000
3,-0.510,1.392,0.000,30.000
3,-0.518,1.574,0.000,30.000
3,-1.191,1.152,0.000,30.000
3,0.000,4.143,0.000,30.000
3,-1.424,3.890,0.000,30.000
4,-0.079,0.037,0.000,30.000
4,0.065,0.058,0.000,30.000
4,0.486,0.559,0.000,30.000
4,0.208,0.711,0.000,30.000
4,0.046,1.482,0.000,30.000
4,-0.510,1.392,0.000,30.000
4,-0.518,1.574,0.000,30.000
4,-1.191,1.152,0.000,30.000
4,0.000,4.143,0.000,30.000
4,-1.424,3.890,0.000,30.000
5,-0.079,0.037,0.000,30.000
5,0.065,0.058,0.000,30.000
5,0.486,0.559,0.000,30.000
5,0.208,0.711,0.000,30.000
5,0.046,1.482,0.000,30.000
5,-0.510,1.392,0.000,30.000
5,-0.518,1.574,0.000,30.000
5,-1.191,1.152,0.000,30.000
5,0.000,4.143,0.000,30.000
5,-1.424,3.890,0.000,30.000
